Sequence ID,Length (bp),GC Content (%)
"J01859.1 Escherichia coli 16S ribosomal RNA, complete sequence",1541,54.45
"NR_112116.2 Bacillus subtilis strain IAM 12118 16S ribosomal RNA, complete sequence",1550,55.1
"NR_037007.2 Staphylococcus aureus strain S33 R 16S ribosomal RNA, complete sequence",1552,51.1
"NR_026078.1 Pseudomonas aeruginosa strain DSM 50071 16S ribosomal RNA, complete sequence",1537,54.07
